Cord is strong, thick string.;A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.;0.01
A rooster is an adult male chicken. ;A voyage is a long journey on a ship or in a spacecraft.;0.005
Noon is 12 o'clock in the middle of the day. ;String is thin rope made of twisted threads, used for tying things together or tying up parcels.;0.0125
Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.;A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.;0.0475
An autograph is the signature of someone famous which is specially written for a fan to keep.;The shores or shore of a sea, lake, or wide river is the land along the edge of it.;0.005
An automobile is a car;In legends and fairy stories, a wizard is a man who has magic powers.;0.02
A mound of something is a large rounded pile of it.;A stove is a piece of equipment which provides heat, either for cooking or for heating a room.;0.005
A grin is a broad smile.;An implement is a tool or other pieces of equipment.;0.005
An asylum is a psychiatric hospital.;Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.;0.005
An asylum is a psychiatric hospital.;A monk is a member of a male religious community that is usually separated from the outside world.;0.0375
A graveyard is an area of land, sometimes near a church, where dead people are buried.;If you describe a place or situation as a madhouse,you mean that it is full of confusion and noise.;0.0225
Glass is a hard transparent substance that is used to make things such as windows and bottles.;A magician is a person who entertains people by doing magic tricks.;0.0075
A boy is a child who will grow up to be a man.;A rooster is an adult male chicken.;0.1075
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.;A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.;0.0525
A monk is a member of a male religious community that is usually separated from the outside world.;A slave is someone who is the property of another person and has to work for that person.;0.045
An asylum is a psychiatric hospital.;A cemetery is a place where dead peoples bodies or their ashes are buried.;0.375
The coast is an area of land that is next to the sea.;A forest is a large area where trees grow close together.;0.0475
A grin is a broad smile.;A lad is a young man or boy.;0.0125
The shores or shore of a sea, lake, or wide river is the land along the edge of it.;Woodland is land with a lot of trees.;0.0825
A monk is a member of a male religious community that is usually separated from the outside world.;In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.;0.1125
A boy is a child who will grow up to be a man.;A sage is a person who is regarded as being very wise.;0.0425
An automobile is a car.;A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.;0.02
A mound of something is a large rounded pile of it.;The shores or shore of a sea, lake, or wide river is the land along the edge of it.;0.035
A lad is a young man or boy.;In legends and fairy stories, a wizard is a man who has magic powers.;0.0325
A forest is a large area where trees grow close together.;A graveyard is an area of land, sometimes near a church, where dead people are buried.;0.065
Food is what people and animals eat.;A rooster is an adult male chicken.;0.055
A cemetery is a place where dead peoples bodies or their ashes are buried.;Woodland is land with a lot of trees.;0.0375
The shores or shore of a sea, lake, or wide river is the land along the edge of it.;A voyage is a long journey on a ship or in a spacecraft.;0.02
A bird is a creature with feathers and wings, females lay eggs, and most birds can fly.;Woodland is land with a lot of trees.;0.0125
